Modelo,Features,Accuracy,Precision,Recall,F1-Score,CV Score
Random Forest,12 original,1.0,1.0,1.0,1.0,1.0
SVM (RBF),12 original,1.0,1.0,1.0,1.0,1.0
XGBoost,12 original,0.889,0.944,0.889,0.873,0.889
Random Forest,6 PCs,0.9444444444444444,0.9555555555555555,0.9444444444444444,0.9435626102292769,0.9846153846153847
SVM (RBF),6 PCs,0.9444444444444444,0.9555555555555555,0.9444444444444444,0.9435626102292769,1.0
XGBoost,6 PCs,0.7777777777777778,0.7685185185185185,0.7777777777777778,0.7544973544973544,0.9703296703296704
