frame_idx,lm0_x,lm0_y,lm0_z,lm0_v,lm1_x,lm1_y,lm1_z,lm1_v,lm2_x,lm2_y,lm2_z,lm2_v,lm3_x,lm3_y,lm3_z,lm3_v,lm4_x,lm4_y,lm4_z,lm4_v,lm5_x,lm5_y,lm5_z,lm5_v,lm6_x,lm6_y,lm6_z,lm6_v,lm7_x,lm7_y,lm7_z,lm7_v,lm8_x,lm8_y,lm8_z,lm8_v,lm9_x,lm9_y,lm9_z,lm9_v,lm10_x,lm10_y,lm10_z,lm10_v,lm11_x,lm11_y,lm11_z,lm11_v,lm12_x,lm12_y,lm12_z,lm12_v,lm13_x,lm13_y,lm13_z,lm13_v,lm14_x,lm14_y,lm14_z,lm14_v,lm15_x,lm15_y,lm15_z,lm15_v,lm16_x,lm16_y,lm16_z,lm16_v,lm17_x,lm17_y,lm17_z,lm17_v,lm18_x,lm18_y,lm18_z,lm18_v,lm19_x,lm19_y,lm19_z,lm19_v,lm20_x,lm20_y,lm20_z,lm20_v,lm21_x,lm21_y,lm21_z,lm21_v,lm22_x,lm22_y,lm22_z,lm22_v,lm23_x,lm23_y,lm23_z,lm23_v,lm24_x,lm24_y,lm24_z,lm24_v,lm25_x,lm25_y,lm25_z,lm25_v,lm26_x,lm26_y,lm26_z,lm26_v,lm27_x,lm27_y,lm27_z,lm27_v,lm28_x,lm28_y,lm28_z,lm28_v,lm29_x,lm29_y,lm29_z,lm29_v,lm30_x,lm30_y,lm30_z,lm30_v,lm31_x,lm31_y,lm31_z,lm31_v,lm32_x,lm32_y,lm32_z,lm32_v
0,0.49306172132492065,0.28984421491622925,-0.3023970425128937,0.9996939897537231,0.5057327151298523,0.27951204776763916,-0.30782079696655273,0.9991815686225891,0.5124420523643494,0.2795124053955078,-0.3078339099884033,0.9992609024047852,0.5193966627120972,0.2795528769493103,-0.307774156332016,0.9990981817245483,0.479628324508667,0.2796078324317932,-0.30121049284935,0.9991639256477356,0.47354447841644287,0.27968525886535645,-0.3012393116950989,0.9990783929824829,0.46809908747673035,0.28003594279289246,-0.30124831199645996,0.9988502264022827,0.5293402075767517,0.2845928966999054,-0.19625675678253174,0.9986242651939392,0.4591820240020752,0.2866138815879822,-0.1994953602552414,0.998429536819458,0.5088222622871399,0.301155686378479,-0.2615538239479065,0.999091386795044,0.47898945212364197,0.3011147677898407,-0.26274392008781433,0.9990526437759399,0.5386337041854858,0.33515578508377075,-0.11675971001386642,0.9998109340667725,0.43137526512145996,0.33699488639831543,-0.10331866145133972,0.9997478723526001,0.5669016242027283,0.4221911132335663,-0.01764741726219654,0.9569472670555115,0.43402034044265747,0.41857290267944336,-0.02310260757803917,0.9702773094177246,0.5632203817367554,0.4774748980998993,0.006926688831299543,0.9420639872550964,0.458688884973526,0.4468781650066376,0.023700980469584465,0.9521210789680481,0.5666223764419556,0.49384060502052307,0.01005265861749649,0.9349666237831116,0.46950197219848633,0.4534793198108673,0.05572861060500145,0.9389457106590271,0.5613976120948792,0.49125024676322937,0.005714717786759138,0.9351937174797058,0.4563111662864685,0.44846877455711365,0.02375449426472187,0.940946102142334,0.5545421838760376,0.48546648025512695,0.005052084103226662,0.9418182373046875,0.4581151306629181,0.4466196596622467,0.014470569789409637,0.9432583451271057,0.5255869626998901,0.4827965497970581,0.002191182691603899,0.9997779130935669,0.44580769538879395,0.4758639633655548,-0.0026921157259494066,0.9997571706771851,0.5179901123046875,0.5881973505020142,-0.0082046277821064,0.9427940249443054,0.4418059289455414,0.5864954590797424,0.0059313541278243065,0.9499135613441467,0.5222741961479187,0.7057015895843506,0.04444042220711708,0.9363222718238831,0.4163888096809387,0.702309787273407,0.09498951584100723,0.9326344728469849,0.5140474438667297,0.7234376668930054,0.045153021812438965,0.7464443445205688,0.4172147512435913,0.7168991565704346,0.10617008060216904,0.7101442813873291,0.5485103130340576,0.7503345012664795,-0.03431739658117294,0.9272021651268005,0.41042545437812805,0.7554240226745605,0.005738815758377314,0.9227278828620911
1,0.49165254831314087,0.30008503794670105,-0.3084816038608551,0.9995120763778687,0.5025807619094849,0.2895343005657196,-0.30917516350746155,0.9984180927276611,0.5085746645927429,0.2896502614021301,-0.3091846704483032,0.9986241459846497,0.5146483778953552,0.2897673547267914,-0.3091559112071991,0.998193085193634,0.48001521825790405,0.2891567051410675,-0.31056395173072815,0.9984351992607117,0.4739401340484619,0.2890976369380951,-0.31052154302597046,0.9983800649642944,0.4680456519126892,0.2892207205295563,-0.31057190895080566,0.9978857040405273,0.5216022729873657,0.2936134934425354,-0.20718850195407867,0.9969692230224609,0.45731738209724426,0.2941514551639557,-0.2295694798231125,0.9969407320022583,0.5025880932807922,0.31045281887054443,-0.26979678869247437,0.998424232006073,0.478908896446228,0.3100830018520355,-0.27586597204208374,0.9983844757080078,0.5405558943748474,0.34153497219085693,-0.11501458287239075,0.9995251893997192,0.42441996932029724,0.34241145849227905,-0.17503862082958221,0.9994964599609375,0.5556063652038574,0.4138203561306,-0.030105778947472572,0.9415488243103027,0.4216916859149933,0.42041105031967163,-0.12452574819326401,0.9678830504417419,0.552462100982666,0.4662274122238159,-0.013517685234546661,0.926122784614563,0.45370909571647644,0.4835711419582367,-0.06679423898458481,0.9474639296531677,0.5536999106407166,0.48741987347602844,-0.011804686859250069,0.9139417409896851,0.4581231474876404,0.5006040930747986,0.03193313255906105,0.9323078393936157,0.5464380383491516,0.4881977140903473,-0.026287563145160675,0.9145367741584778,0.4579160809516907,0.5003306269645691,-0.06460319459438324,0.934442937374115,0.5398638248443604,0.484623521566391,-0.020702486857771873,0.9256550669670105,0.46292826533317566,0.49389106035232544,-0.05366935953497887,0.9382815957069397,0.5085319876670837,0.4758918285369873,0.011412479914724827,0.9997088313102722,0.439156174659729,0.47760793566703796,-0.011680718511343002,0.9997068643569946,0.5122398138046265,0.5607107281684875,0.13456901907920837,0.9034759402275085,0.43949687480926514,0.5640240907669067,0.10148410499095917,0.9202398657798767,0.4941723346710205,0.6454803943634033,0.2439948171377182,0.9005017876625061,0.41626399755477905,0.6571183204650879,0.2365056574344635,0.9007933139801025,0.48580095171928406,0.6549148559570312,0.25860515236854553,0.740071177482605,0.41817814111709595,0.6467203497886658,0.25344419479370117,0.699082612991333,0.5149720907211304,0.6920556426048279,0.2160113900899887,0.8991210460662842,0.4169210195541382,0.6836242079734802,0.17366623878479004,0.8940486311912537
2,0.48865389823913574,0.2934029996395111,-0.2394649088382721,0.9995322227478027,0.49943068623542786,0.2826433777809143,-0.23311585187911987,0.9984744191169739,0.5052996873855591,0.2827398180961609,-0.23314134776592255,0.9986792802810669,0.5112442374229431,0.283089280128479,-0.23311257362365723,0.9982600808143616,0.4797869026660919,0.28315606713294983,-0.23487262427806854,0.9984828233718872,0.4730994403362274,0.2835920453071594,-0.23479075729846954,0.9984334111213684,0.46669265627861023,0.28428274393081665,-0.23481711745262146,0.9979424476623535,0.5172659158706665,0.2890391945838928,-0.1492171287536621,0.997073769569397,0.45542579889297485,0.29068782925605774,-0.17146950960159302,0.997014045715332,0.4977625608444214,0.30573469400405884,-0.2058681696653366,0.9984962344169617,0.476046085357666,0.3058473467826843,-0.20943333208560944,0.9984486699104309,0.5448977947235107,0.3424937427043915,-0.09010244905948639,0.9995033740997314,0.4163801670074463,0.341148316860199,-0.13333171606063843,0.9994399547576904,0.5559782981872559,0.41204407811164856,-0.02106570266187191,0.9361569881439209,0.41011178493499756,0.4168941378593445,-0.059611424803733826,0.9641571640968323,0.5527169108390808,0.46707314252853394,-0.0040923841297626495,0.9202784299850464,0.4309140741825104,0.4864134192466736,0.017823629081249237,0.9407208561897278,0.5540377497673035,0.4913368225097656,-0.0038770968094468117,0.9056447744369507,0.43177828192710876,0.5027816295623779,0.040526047348976135,0.9243659973144531,0.5453794598579407,0.4912388324737549,-0.0175928957760334,0.906287431716919,0.4335624575614929,0.5038793087005615,0.019667234271764755,0.9267011284828186,0.5386109948158264,0.48480385541915894,-0.010113953612744808,0.91945880651474,0.44085973501205444,0.4975789189338684,0.01544350478798151,0.9322510361671448,0.5023690462112427,0.4754382073879242,0.008974389173090458,0.9996888637542725,0.4353511333465576,0.4813286066055298,-0.00906753446906805,0.9996882677078247,0.5055042505264282,0.5528096556663513,0.13156147301197052,0.8810771703720093,0.4392955005168915,0.5591784715652466,0.12315204739570618,0.9019640684127808,0.48839569091796875,0.634250819683075,0.25791090726852417,0.8788009881973267,0.41959598660469055,0.6209084987640381,0.24414324760437012,0.8796049356460571,0.4826527237892151,0.6434422135353088,0.2729696035385132,0.7431663870811462,0.4160514175891876,0.6535747647285461,0.2585924565792084,0.6966791749000549,0.5034059286117554,0.6793705224990845,0.23959876596927643,0.8814497590065002,0.41661337018013,0.6620005965232849,0.1955415904521942,0.8734261393547058
3,0.48623305559158325,0.2951212525367737,-0.2502821981906891,0.9994232058525085,0.49619829654693604,0.2842881977558136,-0.23857054114341736,0.9983535408973694,0.501612663269043,0.28398528695106506,-0.23857460916042328,0.9985349774360657,0.5072936415672302,0.2839501202106476,-0.23864762485027313,0.9981892108917236,0.4797203242778778,0.2848740518093109,-0.24493837356567383,0.9982488751411438,0.472532719373703,0.2849973738193512,-0.24485021829605103,0.9980931282043457,0.46594902873039246,0.2854069173336029,-0.24483966827392578,0.9975701570510864,0.5119041204452515,0.28815168142318726,-0.11665670573711395,0.99696284532547,0.4548483192920685,0.2901965081691742,-0.17008407413959503,0.996157169342041,0.49357056617736816,0.30624592304229736,-0.19958730041980743,0.9982374310493469,0.4738151729106903,0.30623048543930054,-0.21096716821193695,0.9979202151298523,0.5399401187896729,0.33856862783432007,-0.05161662772297859,0.9994663596153259,0.4104629158973694,0.3382299244403839,-0.10776619613170624,0.9990445971488953,0.55588299036026,0.40594929456710815,0.0014773717848584056,0.9214423894882202,0.4093455970287323,0.3855782151222229,-0.11172880232334137,0.93275386095047,0.5544303059577942,0.46846121549606323,-0.00843826960772276,0.8996171355247498,0.4518702030181885,0.36026132106781006,-0.16731040179729462,0.905950665473938,0.5570074915885925,0.4910142123699188,-0.016082406044006348,0.8829728960990906,0.466383159160614,0.35650521516799927,-0.1789446324110031,0.890554666519165,0.5480843782424927,0.4905456602573395,-0.03944933041930199,0.8844299912452698,0.46619436144828796,0.3459099233150482,-0.16949564218521118,0.8936320543289185,0.5407040119171143,0.48426902294158936,-0.017038941383361816,0.8995058536529541,0.46606433391571045,0.3473176658153534,-0.16757863759994507,0.9005804061889648,0.5011476874351501,0.4685482978820801,0.009204220026731491,0.9996529817581177,0.43300706148147583,0.46981847286224365,-0.009343509562313557,0.9996209740638733,0.50589519739151,0.5531845092773438,0.18945690989494324,0.8771035671234131,0.43142053484916687,0.5552739500999451,0.2163415104150772,0.8874315023422241,0.4934774339199066,0.6142411828041077,0.41836950182914734,0.8690232634544373,0.42432376742362976,0.6158546805381775,0.4963916838169098,0.8633167743682861,0.48900389671325684,0.6217858791351318,0.44464293122291565,0.7414544224739075,0.4223034977912903,0.6274362206459045,0.5301007032394409,0.6888852715492249,0.5048779845237732,0.6300269365310669,0.37115350365638733,0.874552309513092,0.4200523793697357,0.6499952673912048,0.4597308933734894,0.8610697984695435
4,0.4787061810493469,0.2922207713127136,-0.26046210527420044,0.9994032979011536,0.4888712465763092,0.28184327483177185,-0.24843817949295044,0.9983932971954346,0.4940328001976013,0.2816323935985565,-0.24844422936439514,0.9985589385032654,0.49986177682876587,0.2815133035182953,-0.24851100146770477,0.9982706904411316,0.4731675088405609,0.28253722190856934,-0.2520085871219635,0.998225748538971,0.4677344858646393,0.2827596366405487,-0.2519150972366333,0.9980092644691467,0.4620782732963562,0.2832147777080536,-0.2518916130065918,0.9975007772445679,0.5064267516136169,0.2854985296726227,-0.12716053426265717,0.9971004724502563,0.45269331336021423,0.2875247895717621,-0.16085772216320038,0.9958542585372925,0.48710933327674866,0.3026496469974518,-0.21032272279262543,0.998231053352356,0.46740758419036865,0.3033311069011688,-0.21676485240459442,0.9977839589118958,0.5394306778907776,0.3373357057571411,-0.05829857289791107,0.9994572401046753,0.40709105134010315,0.33640775084495544,-0.06629295647144318,0.9986504316329956,0.5505861043930054,0.402844101190567,-0.035833168774843216,0.9109610915184021,0.4053291380405426,0.37757715582847595,-0.0336294062435627,0.8926645517349243,0.5512634515762329,0.4635714888572693,-0.0720408707857132,0.8831039667129517,0.43549248576164246,0.3675723075866699,-0.032614223659038544,0.8559398651123047,0.5537516474723816,0.4854791462421417,-0.0866091176867485,0.8643367886543274,0.4468784034252167,0.3667517304420471,-0.038886845111846924,0.8418440818786621,0.5440322160720825,0.48524102568626404,-0.1087927594780922,0.8667199015617371,0.45226389169692993,0.34683892130851746,-0.03535404056310654,0.8461121916770935,0.537642776966095,0.4793178141117096,-0.08167372643947601,0.8828239440917969,0.4520682394504547,0.35399124026298523,-0.035142239183187485,0.8555853962898254,0.49871814250946045,0.46514809131622314,-0.0006974158459343016,0.9996178150177002,0.4281555414199829,0.4653845429420471,0.0005041155382059515,0.9995520710945129,0.49585747718811035,0.5441646575927734,0.18500599265098572,0.873888373374939,0.4231509268283844,0.5509385466575623,0.23489205539226532,0.8772027492523193,0.4850541353225708,0.5893276929855347,0.4788168966770172,0.8612108826637268,0.4255014657974243,0.6109410524368286,0.5173876881599426,0.8532816767692566,0.48139846324920654,0.607721209526062,0.5113911628723145,0.7362284064292908,0.4256663918495178,0.6179289817810059,0.5501308441162109,0.6824652552604675,0.48744118213653564,0.6251248717308044,0.4356396794319153,0.8693816661834717,0.41953885555267334,0.6469632983207703,0.4764878451824188,0.8536742925643921
5,0.4705801010131836,0.2871319651603699,-0.5738140344619751,0.9994369745254517,0.4806424081325531,0.27675676345825195,-0.5589564442634583,0.9984704852104187,0.48635372519493103,0.27638182044029236,-0.5588773488998413,0.9986360669136047,0.49215131998062134,0.27621352672576904,-0.5589389801025391,0.998369574546814,0.465668648481369,0.2778417766094208,-0.5590186715126038,0.9982929229736328,0.4610603153705597,0.27817168831825256,-0.5589686632156372,0.998089075088501,0.4559462070465088,0.27858221530914307,-0.5588871836662292,0.9976009726524353,0.5007668137550354,0.28107088804244995,-0.401619553565979,0.9972422122955322,0.44879165291786194,0.2831067144870758,-0.4041391909122467,0.995928168296814,0.48104530572891235,0.297816663980484,-0.5087727904319763,0.9983335137367249,0.46109628677368164,0.29829931259155273,-0.5091906189918518,0.997895359992981,0.5400160551071167,0.3359239995479584,-0.2747112810611725,0.9994871020317078,0.40439367294311523,0.335693359375,-0.2487751990556717,0.998691976070404,0.5522977709770203,0.4017903804779053,-0.17424340546131134,0.9134762287139893,0.3916792869567871,0.3873445987701416,-0.11940718442201614,0.8958566188812256,0.5521855354309082,0.4602864384651184,-0.23840753734111786,0.8870394229888916,0.3816937208175659,0.3940699100494385,-0.1106865257024765,0.8543069362640381,0.5538086295127869,0.48297783732414246,-0.26745644211769104,0.8650952577590942,0.38203778862953186,0.39494284987449646,-0.12653423845767975,0.8341760635375977,0.5449538826942444,0.48339152336120605,-0.3060545325279236,0.8679323792457581,0.38695505261421204,0.4236007034778595,-0.15898960828781128,0.8389809727668762,0.539314866065979,0.4782201647758484,-0.2565443515777588,0.8828518390655518,0.3904263973236084,0.41693899035453796,-0.12632985413074493,0.848882257938385,0.49737119674682617,0.46251997351646423,-0.0051456354558467865,0.9995949268341064,0.42587795853614807,0.462330162525177,0.004949676804244518,0.9995273947715759,0.4905313551425934,0.5442088842391968,0.20646977424621582,0.8711408972740173,0.4200339913368225,0.5460851788520813,0.22682307660579681,0.8765735030174255,0.4822438657283783,0.5942478775978088,0.5750101208686829,0.8596261143684387,0.42496562004089355,0.6152921915054321,0.5789464116096497,0.8524635434150696,0.4758673310279846,0.616481363773346,0.6095123291015625,0.7322925925254822,0.4253380298614502,0.6217852234840393,0.6122414469718933,0.6790264248847961,0.48316022753715515,0.6291947960853577,0.4785028100013733,0.8687717318534851,0.4193425178527832,0.6507624387741089,0.4755616784095764,0.8528637290000916
6,0.46282416582107544,0.285160630941391,-0.6189123392105103,0.9994825124740601,0.4742044508457184,0.2754583954811096,-0.6028937697410583,0.9985807538032532,0.48057302832603455,0.2752688229084015,-0.602798581123352,0.9987372756004333,0.4866914451122284,0.2751823961734772,-0.60282301902771,0.9984937906265259,0.45739662647247314,0.27625715732574463,-0.6035867929458618,0.998410165309906,0.45209071040153503,0.2765481770038605,-0.6035633683204651,0.9982236623764038,0.44759026169776917,0.27686530351638794,-0.6034895777702332,0.9977701902389526,0.49619248509407043,0.2804035544395447,-0.43271079659461975,0.997443437576294,0.44249972701072693,0.2816126346588135,-0.43733662366867065,0.9961702823638916,0.4742869734764099,0.2956864833831787,-0.5486077666282654,0.9984740614891052,0.4529500901699066,0.2957574427127838,-0.5498466491699219,0.9980652332305908,0.5354309678077698,0.33512774109840393,-0.28590551018714905,0.999528169631958,0.39731481671333313,0.33501046895980835,-0.2782152593135834,0.99878990650177,0.5503835678100586,0.3993222415447235,-0.16899488866329193,0.9191089272499084,0.38167881965637207,0.3908827602863312,-0.17054621875286102,0.9031562805175781,0.5544456243515015,0.45896676182746887,-0.2618265748023987,0.8952679634094238,0.36529305577278137,0.410418838262558,-0.2317132204771042,0.8620034456253052,0.5552927255630493,0.47954463958740234,-0.3017077147960663,0.8724985718727112,0.3627754747867584,0.41326311230659485,-0.26694628596305847,0.8386670351028442,0.5459163784980774,0.47916945815086365,-0.3462096154689789,0.8754695653915405,0.3686724007129669,0.4451250731945038,-0.3081938624382019,0.8436668515205383,0.5404461622238159,0.47416043281555176,-0.28284353017807007,0.8885982632637024,0.3734267055988312,0.4355504512786865,-0.2528022527694702,0.8527551293373108,0.49706512689590454,0.46014082431793213,-0.005097231827676296,0.9995718002319336,0.42205366492271423,0.46057963371276855,0.004876137711107731,0.999517560005188,0.49115899205207825,0.5374816656112671,0.20645543932914734,0.8771981596946716,0.41791966557502747,0.5443733334541321,0.20915623009204865,0.8825811743736267,0.4838140308856964,0.585635244846344,0.6200218200683594,0.8647758960723877,0.4246772825717926,0.61185622215271,0.5849049687385559,0.8594443798065186,0.4789484143257141,0.6040632724761963,0.6573383212089539,0.732509195804596,0.42526841163635254,0.6167585253715515,0.6181842088699341,0.6817213296890259,0.4918084144592285,0.6182409524917603,0.5141803026199341,0.873883068561554,0.419023722410202,0.6493110060691833,0.4595862925052643,0.8589083552360535
7,0.4644603729248047,0.2830554246902466,-0.6070513129234314,0.9995287656784058,0.47548171877861023,0.27356836199760437,-0.5844528079032898,0.9987021088600159,0.4815704822540283,0.27359262108802795,-0.5844025015830994,0.9988443851470947,0.48775729537010193,0.273755818605423,-0.5844302773475647,0.9986241459846497,0.45723551511764526,0.27414554357528687,-0.5878950953483582,0.9985455870628357,0.451090008020401,0.2745559513568878,-0.5878826379776001,0.9983757734298706,0.445295512676239,0.27495887875556946,-0.5878172516822815,0.9979637265205383,0.49517619609832764,0.2786615788936615,-0.3982001841068268,0.997654914855957,0.43916594982147217,0.2798768877983093,-0.41742992401123047,0.9964807629585266,0.47578632831573486,0.29400739073753357,-0.5330819487571716,0.9986141324043274,0.45268893241882324,0.294059693813324,-0.5385094881057739,0.9982423186302185,0.534037709236145,0.33457455039024353,-0.25127020478248596,0.999565601348877,0.39166340231895447,0.3340480327606201,-0.2714911699295044,0.9988902807235718,0.546885073184967,0.39923134446144104,-0.13061583042144775,0.9240549802780151,0.3727581799030304,0.39336082339286804,-0.18217194080352783,0.9103401899337769,0.5522522330284119,0.45793095231056213,-0.24371515214443207,0.902327299118042,0.36175426840782166,0.4277399182319641,-0.282270610332489,0.8691539764404297,0.5544074177742004,0.47886598110198975,-0.29057610034942627,0.8780993819236755,0.3586355447769165,0.44675588607788086,-0.32785922288894653,0.8427338004112244,0.546938955783844,0.4782174527645111,-0.33881452679634094,0.8812821507453918,0.36540451645851135,0.4634922444820404,-0.36971530318260193,0.8478586077690125,0.541324257850647,0.47289469838142395,-0.2667423486709595,0.8923492431640625,0.37029072642326355,0.45617687702178955,-0.30388569831848145,0.8556841015815735,0.4987839162349701,0.4608868956565857,0.0004132162139285356,0.9995587468147278,0.4216172695159912,0.4628801643848419,-0.000631942180916667,0.9995247721672058,0.49186983704566956,0.5391373634338379,0.21113097667694092,0.88137286901474,0.4180431365966797,0.5478479266166687,0.1950443834066391,0.8874243497848511,0.48104631900787354,0.5822559595108032,0.6604112386703491,0.8647300601005554,0.42438793182373047,0.612719714641571,0.5923656225204468,0.8644290566444397,0.47196730971336365,0.5875134468078613,0.7017577886581421,0.7284514904022217,0.42510607838630676,0.6187593340873718,0.6273853778839111,0.677404522895813,0.4964376389980316,0.6107971668243408,0.5647242665290833,0.8751455545425415,0.41919103264808655,0.650353193283081,0.4589029848575592,0.8623784780502319
8,0.46187886595726013,0.2822589576244354,-0.5643401741981506,0.9995715618133545,0.4742059111595154,0.272699773311615,-0.5422655940055847,0.9988146424293518,0.4801425039768219,0.2727111876010895,-0.5421923398971558,0.9989420175552368,0.4866184890270233,0.2728937268257141,-0.5421662926673889,0.9987421631813049,0.454738974571228,0.2730105519294739,-0.5450700521469116,0.9986754059791565,0.4481044411659241,0.27325499057769775,-0.5450801253318787,0.9985218644142151,0.4420837163925171,0.2736448347568512,-0.5450570583343506,0.9981503486633301,0.4930705428123474,0.27761319279670715,-0.3651812672615051,0.9978426098823547,0.43686339259147644,0.2786423861980438,-0.38355159759521484,0.9967882633209229,0.4733886420726776,0.29331278800964355,-0.49490734934806824,0.9987419247627258,0.4498175382614136,0.2931200861930847,-0.5000485777854919,0.998408854007721,0.5338141918182373,0.3344133198261261,-0.22957047820091248,0.9995915293693542,0.38702866435050964,0.3332715630531311,-0.25749921798706055,0.9989925026893616,0.5445389747619629,0.40052980184555054,-0.11237380653619766,0.9279994964599609,0.3659054934978485,0.3951035439968109,-0.1851911097764969,0.9172123670578003,0.5512218475341797,0.46046048402786255,-0.21174533665180206,0.9066193699836731,0.35752370953559875,0.4334821403026581,-0.29085496068000793,0.8765925168991089,0.5541283488273621,0.48149845004081726,-0.2535092830657959,0.8795692920684814,0.3530960977077484,0.46150949597358704,-0.33538198471069336,0.8481860160827637,0.5484706163406372,0.4813258647918701,-0.3009338676929474,0.8830052614212036,0.35922303795814514,0.47098737955093384,-0.37641334533691406,0.8532624244689941,0.5434140563011169,0.4762738049030304,-0.23388589918613434,0.8920279145240784,0.36354950070381165,0.4652990996837616,-0.3111587166786194,0.85960453748703,0.4990786015987396,0.4627021253108978,0.005245587322860956,0.9995298385620117,0.4205964505672455,0.4634411633014679,-0.0054831309244036674,0.9995386600494385,0.4925382733345032,0.5403842329978943,0.18921981751918793,0.8882954716682434,0.41809436678886414,0.5482106804847717,0.171224907040596,0.8953890204429626,0.48240524530410767,0.583824098110199,0.6288350224494934,0.8669938445091248,0.42587119340896606,0.6153876781463623,0.5121682286262512,0.872905969619751,0.47548043727874756,0.5867326259613037,0.6689549684524536,0.7277738451957703,0.4272579550743103,0.6230621933937073,0.541508138179779,0.6831007599830627,0.4977548122406006,0.6100137233734131,0.5446459650993347,0.8773080110549927,0.4191337823867798,0.6488449573516846,0.39609408378601074,0.8691993951797485
9,0.46112877130508423,0.2818116843700409,-0.5627099871635437,0.999608039855957,0.4728543758392334,0.2723524868488312,-0.5399859547615051,0.9989068508148193,0.47862905263900757,0.27239277958869934,-0.5399358868598938,0.9990218281745911,0.48497274518013,0.2726331353187561,-0.5399166345596313,0.9988395571708679,0.4535963237285614,0.2724122405052185,-0.5422250032424927,0.9987860918045044,0.4470808207988739,0.2725488245487213,-0.5422772765159607,0.9986486434936523,0.4407646656036377,0.2728993594646454,-0.5422947406768799,0.9983132481575012,0.49071094393730164,0.2768775522708893,-0.3623999357223511,0.9979967474937439,0.4351440370082855,0.27778148651123047,-0.37700963020324707,0.9970510601997375,0.47156691551208496,0.29274070262908936,-0.4933105409145355,0.9988522529602051,0.44804155826568604,0.29256144165992737,-0.4975089728832245,0.9985541105270386,0.5308502316474915,0.3342510759830475,-0.23048627376556396,0.9996004104614258,0.38405612111091614,0.3321194350719452,-0.2420806884765625,0.9990800619125366,0.542395830154419,0.40004703402519226,-0.11375880241394043,0.9315128922462463,0.3632030189037323,0.39587393403053284,-0.16294589638710022,0.92279452085495,0.5501728057861328,0.4564308822154999,-0.21166500449180603,0.9072279930114746,0.3500513732433319,0.4365445077419281,-0.26514601707458496,0.88115394115448,0.5534837245941162,0.47704780101776123,-0.24998152256011963,0.8754708170890808,0.3448445498943329,0.46678996086120605,-0.30430853366851807,0.8495449423789978,0.548760175704956,0.47730571031570435,-0.29773837327957153,0.8793469667434692,0.3513738512992859,0.47315093874931335,-0.34982672333717346,0.8548347353935242,0.5439996719360352,0.47130683064460754,-0.23323702812194824,0.8860992193222046,0.35540568828582764,0.46823111176490784,-0.28660985827445984,0.8595919013023376,0.4976988732814789,0.45733189582824707,0.0029666984919458628,0.999410092830658,0.41852107644081116,0.4580056369304657,-0.003144744783639908,0.9995166659355164,0.48604175448417664,0.5408923625946045,0.09807872027158737,0.8971474170684814,0.41822394728660583,0.5455395579338074,0.08281663060188293,0.9038494229316711,0.4777694046497345,0.5931803584098816,0.548677384853363,0.8742877244949341,0.4257596731185913,0.6168504357337952,0.36915627121925354,0.8826760053634644,0.47285112738609314,0.5994324684143066,0.5911853909492493,0.7337262630462646,0.4279373288154602,0.6261747479438782,0.38866564631462097,0.6942793726921082,0.4851020574569702,0.6230694651603699,0.4191575050354004,0.8826935887336731,0.419099360704422,0.6482255458831787,0.2064446359872818,0.8777749538421631
