categoria,frames,duracion_seg,brillo_promedio,movimiento_promedio,velocidad_promedio,aceleracion_promedio,angulo_rodilla_promedio,angulo_cadera_promedio,angulo_tobillo_promedio,inclinacion_promedio,dist_hombros_caderas,simetria_promedio
Adelante,0.13157894736842105,0.32920792079207917,0.41114274095160575,0.16442048517520214,0.23728813559322035,0.14285714285714285,0.974971983563691,1.0,0.9445156203804078,0.17543859649122806,0.4209868831980012,0.724037528307991
Adelante,0.13157894736842105,0.32920792079207917,0.1655144367629111,0.25067385444743934,0.6440677966101694,0.6571428571428571,0.9544265969368699,0.916518228238927,0.9139647186360499,0.15789473684210523,0.5690193628981886,0.8330637334196053
Adelante,0.06578947368421054,0.1633663366336634,0.29890199267995055,0.14824797843665766,0.40677966101694907,0.6285714285714286,0.953554974473914,0.90559315995725,0.8802601754213067,0.19298245614035087,0.40474703310430965,0.7366548042704627
Adelante,0.18092105263157895,0.45297029702970293,0.47702318015453393,0.2021563342318059,0.35593220338983045,0.2857142857142857,0.9306437554476408,0.8844555278470494,0.7507637725436088,0.20175438596491224,0.6096189881324172,0.9482368165642185
Adelante,0.1611842105263158,0.4034653465346535,0.22529483529890104,0.1725067385444744,0.23728813559322035,0.17142857142857143,0.9190636284397957,0.8717491984324905,0.8523701586675864,0.2543859649122807,0.5977514053716426,0.9000323519896474
Adelante,0.05263157894736839,0.1311881188118813,0.47824318828792123,0.16442048517520214,0.32203389830508466,0.2571428571428572,0.9364960776989171,0.9058306614416345,0.8564107618015174,0.3245614035087719,0.4434728294815739,0.7476544807505661
Adelante,0.14144736842105263,0.35396039603960394,0.43716958113054094,0.20889487870619944,0.3728813559322033,0.2571428571428572,0.9605279541775622,0.8200926255789103,0.9500344929535821,0.29824561403508765,0.7295440349781386,0.9854416046586865
Adelante,0.07565789473684212,0.18811881188118817,0.2708418056120374,0.21293800539083557,0.5932203389830508,0.7714285714285714,0.9124642012202715,0.9085619285120534,0.9378141322558392,0.11403508771929821,0.49594003747657694,0.8566806858621804
Adelante,0.0394736842105263,0.0990099009900991,0.2655551037006907,0.238544474393531,0.40677966101694907,0.34285714285714286,0.9503175196115059,0.9061869136682108,0.9599881738444861,0.5350877192982455,0.6258588382261085,0.8948560336460692
Adelante,0.06907894736842105,0.1732673267326733,0.09231394875965737,0.24528301886792447,0.3389830508474576,0.2857142857142857,0.916822313535052,0.9146182163638525,0.7456391051542327,0.19298245614035087,0.712054965646471,0.980588806211582
Adelante,0.2269736842105263,0.5693069306930694,0.4477429849532326,0.16576819407008087,0.23728813559322035,0.14285714285714285,0.9557962893786582,0.8871867949174683,0.8223120134029763,0.3333333333333333,0.6402248594628357,0.9113555483662246
Adelante,0.30263157894736836,0.7574257425742572,0.27816185441236296,0.160377358490566,0.4576271186440677,0.3142857142857143,0.9123396837255635,0.8897993112456957,0.9119936927170592,0.4649122807017544,0.6258588382261085,0.8822387576835975
